Source,Target,Type,Id,Label,timeset,Weight
3,25,Undirected,1572,,"<[1910.0, 1919.0]; [2020.0, 2025.0]>",2
25,42,Undirected,1573,,"<[1910.0, 1919.0]; [1990.0, 1999.0]; [2000.0, 2009.0]; [2010.0, 2019.0]; [2020.0, 2025.0]>",5
4,16,Undirected,1574,,"<[1930.0, 1939.0]; [1950.0, 1959.0]; [1960.0, 1969.0]; [2010.0, 2019.0]>",4
28,42,Undirected,1575,,"<[1930.0, 1939.0]; [1950.0, 1959.0]; [1960.0, 1969.0]; [1970.0, 1979.0]; [1980.0, 1989.0]; [1990.0, 1999.0]; [2000.0, 2009.0]; [2010.0, 2019.0]; [2020.0, 2025.0]>",9
16,21,Undirected,1581,,"<[1980.0, 1989.0]>",1
16,28,Undirected,1582,,"<[1980.0, 1989.0]; [2010.0, 2019.0]; [2020.0, 2025.0]>",3
16,37,Undirected,1583,,"<[1980.0, 1989.0]>",1
16,42,Undirected,1584,,"<[1980.0, 1989.0]; [1990.0, 1999.0]; [2010.0, 2019.0]; [2020.0, 2025.0]>",4
21,42,Undirected,1585,,"<[1980.0, 1989.0]; [1990.0, 1999.0]>",2
25,28,Undirected,1586,,"<[1980.0, 1989.0]; [2000.0, 2009.0]; [2010.0, 2019.0]; [2020.0, 2025.0]>",4
28,37,Undirected,1587,,"<[1980.0, 1989.0]>",1
14,42,Undirected,1589,,"<[1990.0, 1999.0]; [2020.0, 2025.0]>",2
15,28,Undirected,1590,,"<[1990.0, 1999.0]; [2000.0, 2009.0]; [2010.0, 2019.0]>",3
17,22,Undirected,1592,,"<[1990.0, 1999.0]; [2010.0, 2019.0]; [2020.0, 2025.0]>",3
21,28,Undirected,1593,,"<[1990.0, 1999.0]>",1
25,33,Undirected,1595,,"<[1990.0, 1999.0]; [2020.0, 2025.0]>",2
33,42,Undirected,1598,,"<[1990.0, 1999.0]; [2010.0, 2019.0]; [2020.0, 2025.0]>",3
3,6,Undirected,1599,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
3,17,Undirected,1600,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
3,18,Undirected,1601,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
3,28,Undirected,1602,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
3,36,Undirected,1603,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
3,41,Undirected,1604,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
3,46,Undirected,1605,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
3,42,Undirected,1606,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
6,17,Undirected,1607,,"<[2000.0, 2009.0]; [2010.0, 2019.0]; [2020.0, 2025.0]>",3
6,18,Undirected,1608,,"<[2000.0, 2009.0]>",1
6,28,Undirected,1609,,"<[2000.0, 2009.0]; [2010.0, 2019.0]>",2
6,36,Undirected,1610,,"<[2000.0, 2009.0]>",1
6,41,Undirected,1611,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
6,46,Undirected,1612,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
6,42,Undirected,1613,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
8,28,Undirected,1614,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
12,15,Undirected,1615,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
15,27,Undirected,1616,,"<[2000.0, 2009.0]>",1
15,46,Undirected,1618,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
15,42,Undirected,1619,,"<[2000.0, 2009.0]; [2010.0, 2019.0]; [2020.0, 2025.0]>",3
17,18,Undirected,1620,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
17,28,Undirected,1621,,"<[2000.0, 2009.0]; [2010.0, 2019.0]; [2020.0, 2025.0]>",3
17,36,Undirected,1622,,"<[2000.0, 2009.0]; [2010.0, 2019.0]>",2
17,41,Undirected,1623,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
17,46,Undirected,1624,,"<[2000.0, 2009.0]; [2010.0, 2019.0]; [2020.0, 2025.0]>",3
17,42,Undirected,1625,,"<[2000.0, 2009.0]; [2010.0, 2019.0]; [2020.0, 2025.0]>",3
18,28,Undirected,1626,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
18,36,Undirected,1627,,"<[2000.0, 2009.0]>",1
18,41,Undirected,1628,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
18,46,Undirected,1629,,"<[2000.0, 2009.0]>",1
18,42,Undirected,1630,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
22,28,Undirected,1631,,"<[2000.0, 2009.0]; [2010.0, 2019.0]>",2
27,42,Undirected,1634,,"<[2000.0, 2009.0]; [2010.0, 2019.0]; [2020.0, 2025.0]>",3
28,36,Undirected,1635,,"<[2000.0, 2009.0]; [2010.0, 2019.0]>",2
28,38,Undirected,1636,,"<[2000.0, 2009.0]; [2010.0, 2019.0]>",2
28,41,Undirected,1637,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
28,46,Undirected,1638,,"<[2000.0, 2009.0]>",1
36,41,Undirected,1640,,"<[2000.0, 2009.0]>",1
36,46,Undirected,1641,,"<[2000.0, 2009.0]>",1
36,42,Undirected,1642,,"<[2000.0, 2009.0]; [2020.0, 2025.0]>",2
