1,Responsible,Ref_pubyr,Class,Order,Data_enterer,Type_locality,Type_country,Affiliations,Countries,Language
UA_509,Leonid,1829,Var Vertebrata,,Gorobets,,"Russian Empire (then), Ukraine",St. Petersburg University,Russia,Latin
UA_512,Leonid,1830,Var Vertebrata,,Gorobets,,"Russian Empire (then), Ukraine",St. Petersburg University,Russia,German
UA_511,Leonid,1830,Var Vertebrata,,Gorobets,,"Russian Empire (then), Ukraine",St. Petersburg University,Russia,Latin
UA_513,Leonid,1831,Var Vertebrata,,Gorobets,,"Russian Empire (then), Ukraine",St. Petersburg University,Russia,Latin
UA_514,Leonid,1837,Mammalia,Proboscidea,Gorobets,,"Russian Empire (then), Ukraine",St. Petersburg University,Russia,German
UA_515,Leonid,1838,Mammalia,Proboscidea,Gorobets,,"Russian Empire (then), Ukraine",St. Petersburg University,Russia,German
UA_508,Leonid,1840,Chondrichthyes,Elasmobranchii,Gorobets,,"Russian Empire (then), Ukraine",Humboldt University of Berlin (as University of Berlin),Germany,German
UA_994,Pavlo,1840,Mammalia,Proboscidea,,,"Russian Empire (then), Ukraine",V.N. Karazin Kharkiv National University,Ukraine,Russian
UA_603,Leonid,1847,,,Gorobets,,"Russian Empire (then), Ukraine",Richelieu Lyceum,Finland,German
UA_535,Leonid,1850,osteichthyes,,Gorobets,,"Russian Empire (then), Ukraine", Naturhistorisches Museum Vienna,Austria,German
UA_602,Leonid,1858,,,Gorobets,,"Russian Empire (then), Ukraine",Richelieu Lyceum,Finland,German
UA_73,Viktor,1860,Osteichthyes; Chondrichthyes,Aulopiformes;  Hybodontiformes; Lamniformes; Chimaeriformes; Pycnodontiformes; ,Baranov,,"Russian Empire (then), Ukraine",Taras Shevchenko National University of Kyiv,Ukraine,Russian
UA_516,Leonid,1860,Var Vertebrata,,Gorobets,,"Russian Empire (then), Ukraine",St. Petersburg University,Russia,French
UA_517,Leonid,1860,Var Vertebrata,,Gorobets,,"Russian Empire (then), Ukraine",St. Petersburg University,Russia,French
