Source,Target,Type,Id,Label,Weight
Germany,Ukraine,Undirected,882,,4
Germany,Georgia,Undirected,883,,1
Russia,Ukraine(Occupied Luhansk),Undirected,884,,1
Germany,Belgium,Undirected,885,,2
USA,France,Undirected,887,,1
Ukraine,Poland,Undirected,888,,48
Ukraine,Austria,Undirected,889,,2
Ukraine,USA,Undirected,890,,8
Germany,Poland,Undirected,892,,5
Russia,Czechia,Undirected,894,,1
Poland,Hungary,Undirected,897,,1
Russia,Ukraine,Undirected,898,,12
Czechia,Spain,Undirected,899,,1
Czechia,Ukraine,Undirected,900,,4
Germany,China,Undirected,904,,1
Germany,UK,Undirected,905,,1
Germany,USA,Undirected,906,,2
Germany,Canada,Undirected,907,,1
Germany,Sri Lanka,Undirected,908,,1
Germany,Australia,Undirected,909,,1
Germany,France,Undirected,910,,1
Germany,Netherlands,Undirected,911,,1
Germany,Tunisia,Undirected,913,,1
Germany,Finland,Undirected,914,,1
Germany,Sweden,Undirected,915,,1
Germany,Hungary,Undirected,916,,1
Germany,Austria,Undirected,917,,1
Germany,Czechia,Undirected,918,,2
Germany,Serbia,Undirected,919,,1
Germany,Spain,Undirected,920,,1
Germany,Portugal,Undirected,921,,1
Germany,Estonia,Undirected,922,,1
Denmark,Germany,Undirected,925,,3
Denmark,Ukraine,Undirected,926,,5
Denmark,Poland,Undirected,927,,3
Ukraine,Canada,Undirected,928,,3
Ukraine,Hungary,Undirected,931,,4
Belarus,Russia,Undirected,932,,1
Sweden,Australia,Undirected,933,,1
Sweden,Poland,Undirected,934,,1
Germany,Switzerland,Undirected,936,,1
Germany,Russia,Undirected,937,,1
Ukraine,Spain,Undirected,949,,1
Poland,Czechia,Undirected,956,,4
Slovenia,Ukraine,Undirected,962,,1
Poland,Falkland Islands (UK),Undirected,973,,1
Poland,Russia,Undirected,976,,4
Poland,Belarus,Undirected,977,,2
Poland,Estonia,Undirected,978,,2
Poland,Armenia,Undirected,979,,1
Poland,Romania,Undirected,981,,2
Poland,UK,Undirected,982,,2
Poland,Greece,Undirected,983,,1
Poland,Serbia,Undirected,984,,1
Ukraine,Romania,Undirected,985,,2
Poland,Italy,Undirected,997,,3
Poland,United Kingdom,Undirected,998,,1
Poland,Spain,Undirected,1000,,1
Czechia,Italy,Undirected,1014,,1
Austria,Poland,Undirected,1019,,1
Austria,Italy,Undirected,1020,,1
Austria,Switzerland,Undirected,1021,,1
Poland,Slovakia,Undirected,1025,,1
Russia,Georgia,Undirected,1047,,1
Slovakia,Russia,Undirected,1048,,1
Denmark,The Netherlands,Undirected,1051,,1
Denmark,Romania,Undirected,1052,,2
Denmark,Georgia,Undirected,1053,,1
Denmark,Netherlands,Undirected,1055,,1
Denmark,Norway,Undirected,1056,,1
